Fold,Modelo,RMSE,MAE,R2,MAPE,Train_Inicio,Train_Fin,Test_Inicio,Test_Fin,N_Train,N_Test
1,ARIMA,1085.9214714376155,693.6509609857083,-0.6892561574633806,100.0,2024-06-20,2024-08-03 23:55:00,2024-08-04,2024-08-13 23:55:00,12960,2880
1,Prophet,562.7000994227611,349.74099562191435,0.5464212980990136,76.81142434082705,2024-06-20,2024-08-03 23:55:00,2024-08-04,2024-08-13 23:55:00,12960,2880
1,Random Forest,292.4488488531184,143.43525741650078,0.8774823939026507,48.95215270749378,2024-06-20,2024-08-03 23:55:00,2024-08-04,2024-08-13 23:55:00,12960,2880
2,ARIMA,1008.0393745420946,612.5776448825557,-0.5855141979908602,100.0,2024-06-30,2024-08-13 23:55:00,2024-08-14,2024-08-23 23:55:00,12960,2880
2,Prophet,306.2438677853216,167.6953084505601,0.8536644159253794,92.48867412283973,2024-06-30,2024-08-13 23:55:00,2024-08-14,2024-08-23 23:55:00,12960,2880
2,Random Forest,356.8083886434802,156.48063876073925,0.8013515158624493,104.47446471670965,2024-06-30,2024-08-13 23:55:00,2024-08-14,2024-08-23 23:55:00,12960,2880
3,ARIMA,995.4794824462707,603.0433139535139,-0.5797078115088186,100.0,2024-07-10,2024-08-23 23:55:00,2024-08-24,2024-09-02 23:55:00,12960,2880
3,Prophet,447.54985831085094,239.54150257412812,0.6807028905308474,132.28255005363798,2024-07-10,2024-08-23 23:55:00,2024-08-24,2024-09-02 23:55:00,12960,2880
3,Random Forest,305.8472373721583,157.6043777438624,0.8508850239735428,96.95368050985094,2024-07-10,2024-08-23 23:55:00,2024-08-24,2024-09-02 23:55:00,12960,2880
4,ARIMA,916.5050289103114,526.8448942845763,-0.4935236185642011,100.0,2024-07-20,2024-09-02 23:55:00,2024-09-03,2024-09-12 23:55:00,12960,2880
4,Prophet,703.9539683536303,391.4451561328226,0.11888841123705329,86.2780610273689,2024-07-20,2024-09-02 23:55:00,2024-09-03,2024-09-12 23:55:00,12960,2880
4,Random Forest,430.66890783727536,257.72239010114623,0.6702161162113958,89.80508758397232,2024-07-20,2024-09-02 23:55:00,2024-09-03,2024-09-12 23:55:00,12960,2880
5,ARIMA,1016.6956904877866,618.2928007596631,-0.5868825539944258,100.0,2024-07-30,2024-09-12 23:55:00,2024-09-13,2024-09-22 23:55:00,12960,2880
5,Prophet,773.0938739407418,494.7636451313674,0.08245518795515439,160.84974772813456,2024-07-30,2024-09-12 23:55:00,2024-09-13,2024-09-22 23:55:00,12960,2880
5,Random Forest,412.1963655430197,228.55584791223117,0.7391618348658777,115.04073605881351,2024-07-30,2024-09-12 23:55:00,2024-09-13,2024-09-22 23:55:00,12960,2880
